,Timestamp,Real Energy,diff,Product Group,SKU code,Event Code_plc,Duration (sec),Καθαρές Μηχανοώρες (min),Work Center,Event Code_mes,Duration (min),Production Quantity (#),DB  955DBW    8   in die side,DB  955DBW   12  in center,DB  955DBW   16  in stem side,MW   960  diff die,MW   962  diff stem,MW   964  dif cont disk,DB   10DBW   92  disk temp,DB   10DBW    2 pressure main ,DB   10DBW   12 pressure mandrel,DB  301DBW   98  billet number,DB 2000DBW    8  m1 id,DB 2000DBW   50  m1 counter,DB 2000DBW   18  m2 id,DB 2000DBW   52   m2 counter,DB 2000DBW   38  man id,DB 2000DBW   56 man counter,DB  700DBW   46  contener counter,DB  301DBW  272  cooling water mandrel outlet,DB  301DBW  274  cooling water mandrel inlet,DB  301DBW  276  mandrel coolng flow,DB  301DBW   96  mandrell movment,DB   30DBW   80   contener position,DB   10DBW  114  cont  cooling air flow,MW    46  mikos  bigetas,DB  301DBW  166   mikos   solinas
506,2022-07-24 16:00:00,544729282.7635,330.207000002265,{'DB3'},{'1.0'},{'1102.0'},14274.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",614.283333344385,148.0,391.67264081931233,412.2966349670812,390.0983906364301,-20.619604974396488,22.206291148500366,-32.0,250.0,34.77380483135312,6.927360774818402,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,36.629846378931965,36.385881492318944,124.05101638605777,79.0,540.0,0.03328100470957614,817.0,310.0
507,2022-07-24 20:00:00,544734270.268,316.66699999570847,{'DB3'},{'1.0'},{'1102.0'},14274.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",614.283333344385,148.0,391.1902817476521,411.63046141282155,389.36137198856676,-20.440179665169456,22.25561453654553,-32.0,250.0,34.77380483135312,6.927360774818402,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,37.841159657002855,38.74316047366272,124.05101638605777,79.0,540.0,0.03328100470957614,817.0,310.0
508,2022-07-25 00:00:00,544739212.088,315.64800000190735,{'DB3'},{'1.0'},{'1102.0'},14274.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",614.283333344385,148.0,390.4035584310554,410.8119692680954,388.28548321876264,-20.401536595228468,22.53740396279822,-32.0,250.0,34.77380483135312,6.927360774818402,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,35.2923574605742,37.37484836231298,124.05101638605777,79.0,540.0,0.03328100470957614,817.0,310.0
509,2022-07-25 04:00:00,544744176.3050001,318.89200000464916,{'DB3'},{'1.0'},{'1102.0'},14274.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",614.283333344385,148.0,391.7690728703387,412.2350325008553,389.50153951419776,-20.464249059185768,22.72357167293876,-32.0,250.0,34.77380483135312,6.927360774818402,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,31.248717071501883,33.83681149503934,124.05101638605777,79.0,540.0,0.03328100470957614,817.0,310.0
510,2022-07-25 08:00:00,544749714.72,521.5449999943376,{'DB3'},{'1.0'},{'1102.0'},86400.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",135.5333333427552,15.0,390.02482471101007,410.9827553534205,387.5728633693386,-20.955277619859768,23.417661550123174,-32.0,250.0,34.77380483135312,0.0422588592003032,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,29.18931210915293,31.25203714231571,124.05101638605777,79.0,339.6268713284063,0.5163918893310593,817.0,310.0
511,2022-07-25 12:00:00,544776124.8640001,3347.0750000029802,{'DB3'},{'1.0'},"{'301.0', '99.0', '98.0', '0.0', '901.0'}",18029.0,107.5,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",759.5500000042375,231.0,437.6312284313132,442.2241327117515,427.6012593085911,-4.591511775746201,14.623781558394382,-54.057395410788885,379.98589332203187,36.373675606950414,6.565356905006962,34.07465036023491,971.5139553187624,587.1927710843373,980.6479384876188,463.62880668402255,672.0,237.9203850578192,17982.9194163589,65.17485015438639,59.53127081189078,124.4052188654114,78.19089423018708,16.508082581582613,422.50529757219834,813.4799903130108,310.2427196222074
512,2022-07-25 16:00:00,544846050.2,4504.362999998033,{'DB3'},{'1.0'},"{'99.0', '98.0', '0.0', '901.0', '702.0', '710.0', '701.0'}",13678.0,145.45,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",607.6499999931548,259.0,446.69071822745946,445.3888220405792,434.0964275341272,1.3023111074229285,11.294261648894237,-77.38504626364052,412.85154142981617,40.016430853491556,7.059873034313929,96.92303223932618,983.2372100742708,381.6905107671881,985.5819260611593,295.10763038878054,672.0,344.7892618563545,18089.787643666237,73.49035309738186,66.8003817268993,127.45288577237459,79.25803908551512,17.703165843740923,445.7488071034397,817.3837600099581,305.1772955479026
513,2022-07-25 20:00:00,544916006.142,4175.844000004232,"{'DB3', 'DB1'}","{'16.0', '1.0', '14.0'}","{'99.0', '98.0', '0.0', '710.0'}",15070.0,114.83333333333333,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",767.3833333351649,319.0,442.0370309278351,443.5960412371134,424.53896907216495,-1.5576907216494846,19.05624742268041,-51.40865979381444,412.74713402061855,31.620618556701032,5.304082474226804,18.28622680412371,946.1323298969072,287.37129896907214,973.4652783505155,364.85488659793816,672.0,457.80325773195875,18202.801979381442,70.4559587628866,64.6159175257732,127.00424742268041,80.22334020618557,13.236288659793814,360.67311340206186,816.1309278350516,306.2740618556701
514,2022-07-26 00:00:00,544986238.005,4461.489999994636,{'DB3'},{'1.0'},"{'99.0', '98.0', '901.0', '710.0', '701.0'}",14321.0,165.31666666666666,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",640.6666666530073,275.0,441.6209519850343,444.65067553523176,431.77605487424654,-3.031594263146955,12.877780087299938,-71.0774890875078,412.65271253377676,36.2719185200582,6.06609852421534,56.57085844938682,985.5940968613594,228.01991270006235,996.7144876325088,189.89540636042403,672.0,572.7620453128247,18317.76075659946,71.11573477447516,64.98586572438163,127.81583870297236,68.49831635834546,18.417210559135317,424.83259197672004,817.2294325504054,307.1318229058408
515,2022-07-26 04:00:00,545053540.982,4000.817000001669,{'DB3'},"{'1.0', '2.0'}","{'402.0', '909.0', '99.0', '907.0', '98.0', '0.0', '901.0', '710.0'}",12493.0,102.71666666666667,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",784.2833333411254,275.0,438.2641313664456,444.27640185861867,426.1153065367438,-6.014571209455497,18.16312536653584,-40.515947128614606,384.7701538322732,33.02278161230658,5.297018089953535,52.83484458880318,997.7651012766726,194.73036495691795,998.7658681824333,240.7835070149321,672.0,679.6362611088555,18424.63508819416,66.80534127306356,61.31573961293815,120.05823972571841,70.51238327243199,16.66229079261966,369.023593630171,816.2694997067713,306.2271394415122
