timestamp,"node_network_receive_bytes_total{instance=""172.16.3.219:9100"", job=""otel-collector"", device=""eth1""}","node_network_transmit_bytes_total{instance=""172.16.3.86:9100"", job=""otel-collector"", device=""eth1""}","node_network_receive_bytes_total{instance=""172.16.2.14:9100"", job=""otel-collector"", device=""eth1""}",packet_count_ratio,delta_time_milliseconds,max_delta_time_milliseconds,min_delta_time_milliseconds,variance_delta_time_ratio,cycle_time_nanoseconds,longest_cycle_time_nanoseconds,shortest_cycle_time_nanoseconds,throughput_rcvd_by_imagestore_MBps,throughput_trnsmt_from_otherapps_MBps,throughput_rcvd_by_pnetio_MBps
1747832132,11836550980,21500120031,691066882142,63,16.013383865356445,17.096757888793945,14.86063003540039,0.3657595148719428,1013613,1304045,1013613,1.203232,1.251934,0.003719
1747832133,11837778114,21501438787,691066886042,64,17.08841323852539,22.182703018188477,8.805513381958008,1.9785378991822509,1030472,4444831,1011780,1.170286,1.257664,0.003719
1747832134,11839041296,21502739519,691066890002,64,15.008687973022461,18.166065216064453,13.834953308105469,0.800669646864384,1038765,1282152,1010918,1.204664,1.240475,0.003777
1747832135,11840280446,21504074797,691066893962,64,16.005754470825195,18.102169036865234,13.935565948486328,0.6715124354823915,1046924,1365267,1017997,1.181746,1.273420,0.003777
1747832136,11841506078,21505398059,691066897682,64,15.997171401977539,19.00005340576172,14.008283615112305,0.6888367155580107,1023358,4202739,1010276,1.168854,1.261961,0.003548
1747832137,11842729026,21506719819,691066898342,63,14.973163604736328,21.880626678466797,12.237071990966797,1.689200165547163,1039734,2878165,1010103,1.166294,1.260529,0.000629
1747832138,11843971180,21507983001,691066899750,21,13.9007568359375,17.049551010131836,13.9007568359375,1.0894618617385277,1046227,2457258,1009190,1.184610,1.204664,0.001343
1747832139,11845229856,21509328793,691066904058,21,0,17.049551010131836,13.9007568359375,1.0894618617385277,1018161,3039314,1010023,1.200367,1.283447,0.004108
1747832140,11846452484,21510626521,691066907778,43,15.986442565917969,2034.1501235961914,13.873100280761719,94665.87352868167,1026081,2596350,1011801,1.165989,1.237610,0.003548
1747832141,11847660092,21511921245,691066911558,64,14.023065567016602,18.023252487182617,13.842344284057617,0.3295715662483203,1050116,1222442,1012068,1.151665,1.234745,0.003605
1747832142,11848894736,21513246009,691066914798,64,15.991687774658203,18.350839614868164,14.03498649597168,0.36695980274346945,1062281,3178255,1015444,1.177448,1.263393,0.003090
1747832143,11850129380,21514570773,691066918458,64,16.088008880615234,22.150039672851562,9.79161262512207,1.3663058513292718,1027894,2621430,1011587,1.177448,1.263393,0.003490
1747832144,11851380546,21515856485,691066922178,64,15.99431037902832,17.317771911621094,14.952421188354492,0.14223066935832343,1036429,1317349,1015805,1.193205,1.226151,0.003548
1747832145,11852609182,21517206783,691066926078,63,16.000986099243164,22.10688591003418,9.919881820678711,1.8411760485212325,1169544,1321593,1013277,1.171719,1.287745,0.003719
1747832146,11853837818,21518503009,691066930038,64,15.983104705810547,17.055511474609375,14.908790588378906,0.13235366207672886,1038527,2986953,1010628,1.171719,1.236177,0.003777
1747832147,11855081474,21519820263,691066934118,64,14.969587326049805,17.045974731445312,14.969587326049805,0.1189945523291877,1035958,4534306,1011422,1.186043,1.256231,0.003891
1747832148,11856323628,21521120995,691066937898,64,15.991926193237305,18.249034881591797,14.988899230957031,0.20378797966613107,1048235,2479556,1016810,1.184610,1.240475,0.003605
1747832149,11857559834,21522445759,691066941798,63,15.078544616699219,18.00704002380371,14.005899429321289,0.2982255140629427,1018597,1476411,1014677,1.178938,1.263393,0.003719
1747832150,11858797482,21523757005,691066945278,64,16.010284423828125,16.168594360351562,15.825033187866211,0.0030399177540997645,1059460,8814148,1016008,1.180313,1.250502,0.003319
1747832151,11860071178,21525081769,691066948998,64,16.991138458251953,18.633127212524414,13.406515121459961,0.4705651128539255,1036945,5801617,1011204,1.214691,1.263393,0.003548
1747832152,11861293806,21526382501,691066952718,63,16.007184982299805,17.00139045715332,14.973163604736328,0.15866954989946813,1101145,3426347,1013229,1.165989,1.240475,0.003548
1747832153,11862510426,21527696751,691066956498,64,16.006946563720703,17.015933990478516,15.00701904296875,0.033265189178189124,1036441,6627796,1016082,1.160259,1.253366,0.003605
1747832154,11863749576,21529000487,691066960218,64,16.01886749267578,16.991376876831055,15.026092529296875,0.033826882960406215,1021505,1241740,1010336,1.181746,1.243340,0.003548
1747832155,11864966196,21530308729,691066963878,63,15.967607498168945,17.757654190063477,14.217853546142578,0.19737197226478315,1019680,1203364,1009070,1.160259,1.247637,0.003490
1747832156,11866182816,21531592939,691066967778,65,14.996767044067383,16.99233055114746,14.996767044067383,0.08951434725401608,1015609,1460116,1012896,1.160259,1.224718,0.003719
1747832157,11867421966,21532953751,691066971998,63,16.173601150512695,17.109394073486328,14.919757843017578,0.1371505754483483,1026665,4820913,1012544,1.181746,1.297771,0.004025
1747832158,11868662618,21534221439,691066976078,64,16.000986099243164,17.000198364257812,14.95671272277832,0.11574593366914251,1070364,1560139,1014103,1.183178,1.208961,0.003891
1747832159,11869907776,21535564227,691066979798,64,16.185522079467773,17.177820205688477,14.150619506835938,0.27751160609914516,1041031,1328054,1009786,1.187475,1.280582,0.003548
1747832160,11871121392,21536843931,691066984012,63,17.01188087463379,17.01188087463379,14.99032974243164,0.1364705468631655,1035662,1478005,1008454,1.157394,1.220421,0.004019
1747832161,11872375562,21538177707,691066987972,64,16.010046005249023,22.10211753845215,9.80377197265625,1.3325158607932006,1034725,1178133,1009544,1.196070,1.271988,0.003777
1747832162,11873601194,21539509981,691066991812,64,16.001224517822266,17.05646514892578,14.954566955566406,0.10289994031199634,1036381,1459529,1011080,1.168854,1.270555,0.003662
1747832163,11874826826,21540794191,691066995412,63,15.994071960449219,18.157005310058594,13.849973678588867,0.303848031662554,1034371,1328717,1011398,1.168854,1.224718,0.003433
1747832164,11876077992,21542097927,691066995592,65,3.153085708618164,19.02008056640625,3.153085708618164,2.844156972992007,1158219,1185132,1012209,1.193205,1.243340,0.000172
1747832165,11877338170,21543428699,691066998308,65,0,19.02008056640625,3.153085708618164,2.844156972992007,1043758,2885466,1013562,1.201799,1.269123,0.002590
1747832166,11878589336,21544742949,691067001908,65,0,19.02008056640625,3.153085708618164,2.844156972992007,1045039,4184488,1011344,1.193205,1.253366,0.003433
1747832167,11879777418,21546048187,691067005508,63,14.974832534790039,2028.8498401641846,14.974832534790039,64293.860063119486,1034491,1416192,1012031,1.133043,1.244772,0.003433
