"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MSE","val_MAE","val_MASE","val_R2","val_RMSE","val_SMAPE"
"BiLSTM-standard-bs32-augTrue--seed2021--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T22:00:31.000Z","343","zxgtfzub","32","true","1","","BiLSTM","","","","","","","","","false","standard","2021","true","35","0.004000000189989805","0.018231388181447983","0.10077723860740662","25.368717193603516","0.07764340937137604","0.2133053094148636","32.000099182128906","258.7897313854079","12.186331478735577","0.5668133338436034","0.9243888229605648","16.08694288500484","18.595067518536197"
"BiLSTM-standard-bs32-augTrue--seed777--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:53:09.000Z","440","zxgtfzub","32","true","1","","BiLSTM","","","","","","","","","false","standard","777","true","46","0.004000000189989805","0.016205308958888054","0.09904567897319794","22.551918029785156","0.10941920429468156","0.26505786180496216","38.771141052246094","256.0214063610446","12.125145720549412","0.5639674483823583","0.9251976507003644","16.00066893479909","19.85527979073863"
"BiLSTM-standard-bs32-augTrue--seed4242--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:48:12.000Z","296","zxgtfzub","32","true","1","","BiLSTM","","","","","","","","","false","standard","4242","true","30","0.004000000189989805","0.020219692960381508","0.10842905938625336","24.837419509887695","0.07033824920654297","0.19744904339313507","32.6776008605957","239.54777337383305","11.74553906853647","0.5463111001735379","0.93001078904867","15.477330951227769","17.147870827129122"
"BiLSTM-standard-bs32-augTrue--seed42--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:43:32.000Z","277","zxgtfzub","32","true","1","","BiLSTM","","","","","","","","","false","standard","42","true","28","0.004000000189989805","0.020342417061328888","0.10760799795389175","24.60692024230957","0.0941675752401352","0.24223171174526217","34.91450881958008","349.09888709071936","13.504498428207706","0.6281242053307685","0.89800299411117","18.6841881571215","19.289003791012483"
"LSTM-standard-bs32-augTrue--seed1234--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:38:36.000Z","292","zxgtfzub","32","true","1","","LSTM","","","","","","","","","false","standard","1234","true","51","0.0010000000474974513","0.031850822269916534","0.1345769762992859","30.41116714477539","0.08583958446979523","0.2309936881065369","34.6777458190918","341.5136225835919","13.577328962885591","0.631511715201021","0.9002191978781009","18.48008719090881","19.39791271544066"
"LSTM-standard-bs32-augTrue--seed2021--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:34:57.000Z","214","zxgtfzub","32","true","1","","LSTM","","","","","","","","","false","standard","2021","true","37","0.0010000000474974513","0.03914212808012962","0.14997200667858124","33.715328216552734","0.08911494165658951","0.2378754764795303","36.02566909790039","410.21523872029786","14.599105831279733","0.6790368259555868","0.8801464923932314","20.253770975309703","20.35094714010544"
"LSTM-standard-bs32-augTrue--seed777--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:27:10.000Z","465","zxgtfzub","32","true","1","","LSTM","","","","","","","","","false","standard","777","true","85","0.0010000000474974513","0.025755593553185463","0.12051546573638916","27.02281951904297","0.0913274735212326","0.23199044167995453","35.19606399536133","335.6557108796083","13.131964689859096","0.6107968340401506","0.901930717097044","18.32090911717015","18.513491359606313"
"LSTM-standard-bs32-augTrue--seed4242--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:21:32.000Z","333","zxgtfzub","32","true","1","","LSTM","","","","","","","","","false","standard","4242","true","59","0.0010000000474974513","0.02933685854077339","0.1302880197763443","30.524484634399418","0.07496913522481918","0.21868674457073212","35.34711456298828","377.11752989414634","13.689316887893444","0.6367205222349254","0.8898167243157138","19.41951415185628","19.307536872982137"
"LSTM-standard-bs32-augTrue--seed42--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:16:30.000Z","299","zxgtfzub","32","true","1","","LSTM","","","","","","","","","false","standard","42","true","53","0.0010000000474974513","0.03343929722905159","0.1364019364118576","31.061866760253903","0.0907437428832054","0.23807427287101743","36.39109802246094","259.0017696784471","12.482051343409092","0.5805679213231791","0.9243268712562668","16.09353192057129","18.58235603648119"
"BiLSTM-standard-bs32-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:06:38.000Z","590","zxgtfzub","32","true","0.75","","BiLSTM","","","","","","","","","false","standard","1234","true","64","0.004000000189989805","0.01325780525803566","0.08928151428699493","19.809722900390625","0.06979634612798691","0.19594797492027283","32.852664947509766","278.7198263612611","12.516360338556872","0.5821637088622323","0.9185658023501072","16.694904203416716","18.47015438792242"
"BiLSTM-standard-bs32-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T21:02:08.000Z","267","zxgtfzub","32","true","0.75","","BiLSTM","","","","","","","","","false","standard","2021","true","31","0.004000000189989805","0.020251624286174778","0.10812462121248244","23.55258560180664","0.08379779011011124","0.23150326311588287","33.41663360595703","393.1566198302243","13.817401647898397","0.6426780288036288","0.8851305473866062","19.828177420787423","18.732222303329653"
"BiLSTM-standard-bs32-augTrue--seed777--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:58:19.000Z","225","zxgtfzub","32","true","0.75","","BiLSTM","","","","","","","","","false","standard","777","true","26","0.004000000189989805","0.02245177701115608","0.11347371339797974","26.00402069091797","0.08843544125556946","0.2371709644794464","32.97234344482422","234.90232187837776","12.065695648472866","0.5612022935357378","0.9313680610454008","15.326523476587171","18.397358352036996"
"BiLSTM-standard-bs32-augTrue--seed4242--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:52:10.000Z","369","zxgtfzub","32","true","0.75","","BiLSTM","","","","","","","","","false","standard","4242","true","44","0.004000000189989805","0.018138591200113297","0.10037700086832048","19.950733184814453","0.07654966413974762","0.2127382755279541","33.51872634887695","336.6763744034695","13.737841822581707","0.6389775246850221","0.9016325075429508","18.34874312871237","19.75650469824609"
"BiLSTM-standard-bs32-augTrue--seed42--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:47:18.000Z","288","zxgtfzub","32","true","0.75","","BiLSTM","","","","","","","","","false","standard","42","true","34","0.004000000189989805","0.01915990374982357","0.10713247954845428","23.460771560668945","0.10726584494113922","0.26373857259750366","36.58504104614258","298.4349399621831","13.169522066859628","0.6125437110314125","0.912805593330794","17.27526960606355","19.424312354932106"
"LSTM-standard-bs32-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:41:30.000Z","345","zxgtfzub","32","true","0.75","","LSTM","","","","","","","","","false","standard","1234","true","69","0.0010000000474974513","0.0301161240786314","0.13070295751094818","28.222103118896484","0.0781431496143341","0.2141374945640564","34.21641159057617","351.5059001839977","13.729176843726249","0.638574497279989","0.8972997316897524","18.748490610819783","19.98015425128399"
"LSTM-standard-bs32-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:37:26.000Z","241","zxgtfzub","32","true","0.75","","LSTM","","","","","","","","","false","standard","2021","true","48","0.0010000000474974513","0.03621089830994606","0.1427491307258606","32.42606735229492","0.0878591239452362","0.2322346717119217","35.697444915771484","294.26101283551543","13.102917428442536","0.609445781419329","0.9140250989936912","17.154037799757685","19.87227398182074"
"LSTM-standard-bs32-augTrue--seed777--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:33:26.000Z","238","zxgtfzub","32","true","0.75","","LSTM","","","","","","","","","false","standard","777","true","47","0.0010000000474974513","0.03508829325437546","0.14210659265518188","31.829710006713867","0.0887034684419632","0.2283736616373062","33.8580322265625","295.2608411528021","12.75811863811852","0.5934084241400015","0.913732976908697","17.183155739060332","18.49651232957319"
"LSTM-standard-bs32-augTrue--seed4242--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:29:33.000Z","232","zxgtfzub","32","true","0.75","","LSTM","","","","","","","","","false","standard","4242","true","45","0.0010000000474974513","0.03861519694328308","0.1462197303771973","35.45478057861328","0.08725811541080475","0.2351638227701187","35.872802734375","366.40115858539474","14.07049159959135","0.6544498043811863","0.8929477505890848","19.141608045966116","19.86003537906294"
"LSTM-standard-bs32-augTrue--seed42--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:20:42.000Z","528","zxgtfzub","32","true","0.75","","LSTM","","","","","","","","","false","standard","42","true","108","0.0010000000474974513","0.022637227550148964","0.1151665672659874","24.310483932495117","0.08968529105186462","0.24037475883960724","35.732887268066406","448.0033435211126","14.764615507102048","0.6867350484518252","0.869105856944586","21.166089471631565","19.7362204963586"
"BiLSTM-standard-bs32-augTrue--seed1234--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:15:20.000Z","319","zxgtfzub","32","true","0.5","","BiLSTM","","","","","","","","","false","standard","1234","true","44","0.004000000189989805","0.018579691648483276","0.10505881905555724","21.310327529907227","0.10017380863428116","0.24605801701545715","34.50468444824219","368.9784077234518","13.687217672217704","0.6366228830530518","0.8921947499201279","19.20881067956712","19.049797235815827"
"BiLSTM-standard-bs32-augTrue--seed2021--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:12:18.000Z","179","zxgtfzub","32","true","0.5","","BiLSTM","","","","","","","","","false","standard","2021","true","23","0.004000000189989805","0.025467978790402412","0.12247858941555025","29.0407657623291","0.12342262268066406","0.2849683165550232","37.06983184814453","250.71637613358345","12.21232640767503","0.5680224157039575","0.9267476332965856","15.83402589784365","17.65420683361874"
"BiLSTM-standard-bs32-augTrue--seed777--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:08:03.000Z","250","zxgtfzub","32","true","0.5","","BiLSTM","","","","","","","","","false","standard","777","true","34","0.004000000189989805","0.021136794239282608","0.11279028654098512","24.02208137512207","0.09820983558893204","0.24959811568260193","36.98530197143555","337.59491709362226","13.338209701250117","0.620389747436536","0.9013641348621972","18.373756205349583","18.25848739086545"
"BiLSTM-standard-bs32-augTrue--seed4242--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T20:05:32.000Z","149","zxgtfzub","32","true","0.5","","BiLSTM","","","","","","","","","false","standard","4242","true","19","0.004000000189989805","0.03026794269680977","0.13293756544589996","30.4674015045166","0.10324264317750932","0.2479049414396286","33.854427337646484","428.39849245003626","15.143166022209902","0.7043422733882964","0.8748338503129137","20.69778955468521","21.25189951807176"
"BiLSTM-standard-bs32-augTrue--seed42--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:59:41.000Z","351","zxgtfzub","32","true","0.5","","BiLSTM","","","","","","","","","false","standard","42","true","48","0.004000000189989805","0.017037851735949516","0.09989116340875626","21.429340362548828","0.10066154599189758","0.2426772117614746","35.49089431762695","257.5235487286842","12.034138118837182","0.5597344827666083","0.9247587663911224","16.047540270355587","18.163027952485734"
"LSTM-standard-bs32-augTrue--seed1234--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:55:58.000Z","218","zxgtfzub","32","true","0.5","","LSTM","","","","","","","","","false","standard","1234","true","51","0.0010000000474974513","0.040353551506996155","0.1515509933233261","36.20789337158203","0.08636622130870819","0.2370925098657608","36.51056289672851","297.46239906908625","13.501666235478496","0.6279924737587419","0.9130897427877774","17.247098279684216","19.709790706379433"
