MD 210,DB 70DBD 4 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΔΕΞΑΜΕΝΗ),DB 30DBW 20 ramposition,DB 20DBW 174 EXTRACTION STEP,DB 10DBW 14 BACKWARD PRESS,DB 20DBD 292,Setpoint position exhaust damper,DB 400DBD 34 z2 energy,T 174,MD 284 C ana kw,MD 70 sinolo ypog-mpanioy,is_low_usage,is_low_usage_next,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,Energy
30.0,24.12933333333333,1083.6,0.0,0.0666666666666666,0.0,52.333333333333336,0.0,1020.0,82.64999999999999,2735.5873333333334,0,0.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,127.99600000306964
146.66666666666666,24.10933333333333,522.2,0.3333333333333333,0.0,157286.4,80.0,69369.73,1020.6666666666666,118.89,2730.2033333333334,0,0.0,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191,52.79999999701977
120.0,23.89133333333333,587.9333333333333,0.2,0.3333333333333333,34952.53333333333,100.0,145757.0,1028.0,87.78,2732.962666666667,0,0.0,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191,127.96300000324844
533.3333333333334,23.382,804.4,0.4666666666666667,0.0666666666666666,192238.9333333333,100.0,90844.84,1029.3333333333333,121.03,2727.714,0,0.0,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191,95.687999997288
176.66666666666666,23.200666666666667,559.6,1.0666666666666669,0.2,292727.4666666667,100.0,57248.57,1031.3333333333333,201.15,2736.989333333333,0,0.0,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191,109.88899999856947
146.66666666666666,22.249333333333333,692.2,0.8,1.8666666666666667,310203.73333333334,100.0,67415.42,1033.3333333333333,358.61,2736.762666666667,0,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,131.5000000037253
620.0,21.034,682.9333333333333,0.5333333333333333,1.7333333333333334,279620.26666666666,100.0,76679.91,1016.0,202.43,2735.588666666667,0,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,143.04399999976158
143.33333333333334,21.53533333333333,374.4,1.1333333333333333,1.933333333333333,205346.13333333333,100.0,84990.79000000001,1027.3333333333333,212.71,2737.494,0,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,134.33899999782443
826.6666666666666,21.96733333333333,573.8,0.0,0.3333333333333333,257774.9333333333,100.0,67685.84,1018.6666666666666,280.33,2730.123333333333,0,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,102.14099999889731
506.6666666666667,22.410666666666664,468.9333333333333,0.1333333333333333,1.1333333333333333,310203.73333333334,100.0,70814.17,1028.0,264.75,2732.0693333333334,0,0.0,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,144.7090000025928
350.0,22.165333333333333,433.73333333333335,0.3333333333333333,1.0,122333.86666666668,43.0,15564.2,1020.0,84.08,2730.142,0,0.0,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,136.08800000324845
266.6666666666667,21.60533333333333,1.0,0.0,0.0,0.0,4.666666666666667,0.0,1020.0,83.25,2714.974666666667,0,0.0,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,85.04199999570847
413.3333333333333,20.738,1144.3333333333333,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2763.161333333333,0,0.0,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,52.90799999982119
293.3333333333333,20.192,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2776.309333333333,0,0.0,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,52.38800000026822
56.66666666666666,20.832,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2777.4953333333333,0,0.0,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,54.23200000077486
440.0,22.102,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2777.4333333333334,0,0.0,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,53.62799999862909
406.6666666666667,22.91733333333333,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2776.9826666666663,0,0.0,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,53.54600000008941
0.0,23.366666666666667,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2776.3126666666667,0,0.0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,47.53500000014901
0.0,23.540666666666667,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2775.1006666666667,0,0.0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,43.028999999165535
