"Name","State","Notes","User","val_MSE","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MAE","val_MASE","val_R2","val_RMSE","val_SMAPE"
"LSTM-standard-bs64-augFalse--seed42--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","14.847412414273297","","2025-10-21T16:54:03.000Z","1554","53e1guso","64","false","0","","LSTM","","","","","","","","","false","standard","42","true","38","0.0010000000474974513","0.03154761344194412","0.12223437428474426","86.96549224853516","0.01297860499471426","0.09264297783374786","14.524836540222168","2.513476447852948","5.721976605301016","-1.5774758007000322","3.8532340201801","20.127106086338316"
"LSTM-standard-bs64-augTrue--seed2021--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","9.505854819938238","","2025-10-21T15:49:05.000Z","3482","cs205vkn","64","true","1","","LSTM","","","","","","","","","false","standard","2021","true","43","0.0010000000474974513","0.020332342013716698","0.09820736944675446","73.25679779052734","0.012235497124493122","0.08830299228429794","15.300189971923828","2.05380331477161","4.675522036043513","-0.650193992038967","3.083156632404237","17.76209007859733"
"LSTM-standard-bs64-augTrue--seed777--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","3.2217126290163787","","2025-10-21T15:03:32.000Z","2731","cs205vkn","64","true","1","","LSTM","","","","","","","","","false","standard","777","true","34","0.0010000000474974513","0.02200929075479507","0.10170923173427582","83.15637969970703","0.012311560101807116","0.08653180301189423","14.143148422241213","1.0809797867801034","2.4608709009557863","0.44071828097691945","1.7949129864749374","9.94227474649366"
"LSTM-standard-bs64-augTrue--seed1234--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","30.7597904647951","","2025-10-21T14:04:07.000Z","3564","cs205vkn","64","true","1","","LSTM","","","","","","","","","false","standard","1234","true","44","0.0010000000474974513","0.02054344117641449","0.09800144284963608","78.99915313720703","0.011439289897680284","0.08605508506298065","16.00916290283203","3.1970935659050865","7.278243885950902","-4.33982712579574","5.5461509594307925","23.703802168170228"
"LSTM-standard-bs64-augTrue--seed4242--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","4.6841795061549965","","2025-10-20T20:44:28.000Z","1548","iguqjlxd","64","true","1","","LSTM","","","","","","","","","false","standard","4242","true","29","0.0010000000474974513","0.02413720265030861","0.105359748005867","105.88014221191406","0.017853856086730957","0.11048301309347151","18.978469848632812","1.4567599445107782","3.316341527349754","0.1868374780481601","2.1642965384057233","13.609399663399309"
"LSTM-standard-bs64-augTrue--seed42--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.324597291271456","","2025-10-20T20:04:04.000Z","2418","iguqjlxd","64","true","1","","LSTM","","","","","","","","","false","standard","42","true","43","0.0010000000474974513","0.019556136801838875","0.09660819172859192","78.7634506225586","0.01623382419347763","0.10302621126174928","15.493870735168455","1.0862517790360884","2.472872690898096","0.596455389164976","1.52466300908478","10.874529938289813"
"BiLSTM-standard-bs64-augTrue--seed777--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.0287968827489544","","2025-10-20T19:11:10.000Z","3172","iguqjlxd","64","true","1","","BiLSTM","","","","","","","","","false","standard","777","true","35","0.004000000189989805","0.011626025661826134","0.07546905428171158","72.9554443359375","0.014129893854260445","0.09521328657865524","14.742024421691896","0.7326285011512189","1.6678426199477494","0.8214032859643681","1.0142962499925523","7.650589214040128"
"BiLSTM-standard-bs64-augTrue--seed2021--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.814317661629859","","2025-10-20T18:42:31.000Z","1718","iguqjlxd","64","true","1","","BiLSTM","","","","","","","","","false","standard","2021","true","19","0.004000000189989805","0.012706133536994456","0.07989593595266342","66.81184387207031","0.021451912820339203","0.12065254151821136","17.345977783203125","1.1036387902494456","2.512454550311945","0.6850387301737443","1.3469660952042777","11.653818757243926"
"BiLSTM-standard-bs64-augTrue--seed1234--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","5.0385372012676894","","2025-10-20T18:10:50.000Z","1896","iguqjlxd","64","true","1","","BiLSTM","","","","","","","","","false","standard","1234","true","21","0.004000000189989805","0.012722105719149113","0.07916726917028427","59.7907829284668","0.007545613683760166","0.06668691337108612","13.083974838256836","1.1306075913392275","2.5738495353497273","0.12532181737541037","2.244668617250148","10.309147165213924"
"BiLSTM-standard-bs64-augTrue--seed4242--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.8290565279731976","","2025-10-20T17:27:56.000Z","2571","iguqjlxd","64","true","1","","BiLSTM","","","","","","","","","false","standard","4242","true","29","0.004000000189989805","0.011310230940580368","0.07469385862350464","61.19176483154297","0.018777715042233467","0.11253028362989426","16.09568977355957","1.050149793921954","2.390685839931395","0.6824800977151222","1.3524261635938568","11.01745764973615"
"BiLSTM-standard-bs64-augTrue--seed42--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","4.986872651661046","","2025-10-20T17:00:29.000Z","1646","iguqjlxd","64","true","1","","BiLSTM","","","","","","","","","false","standard","42","true","18","0.004000000189989805","0.01394086331129074","0.08203251659870148","62.90098190307617","0.025319527834653854","0.13201536238193512","22.864116668701172","1.4200960775885851","3.2328755418348054","0.1342906614170276","2.233130683963893","13.559315264805896"
"LSTM-standard-bs64-augTrue--seed777--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.571444916872717","","2025-10-20T16:23:12.000Z","2232","iguqjlxd","64","true","0.75","","LSTM","","","","","","","","","false","standard","777","true","48","0.0010000000474974513","0.02138286828994751","0.10173802077770232","87.82222747802734","0.012470961548388004","0.0894453153014183","14.40826416015625","1.0902994959807593","2.482087394971441","0.5536032231649348","1.6035725480540994","10.869178425359133"
"LSTM-standard-bs64-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","23.871120846535774","","2025-10-20T15:53:10.000Z","1798","iguqjlxd","64","true","0.75","","LSTM","","","","","","","","","false","standard","2021","true","34","0.0010000000474974513","0.023007813841104507","0.104710653424263","97.76140594482422","0.014199310913681984","0.09511175006628036","14.73253345489502","3.229688349455235","7.352446526317044","-3.1439703162272172","4.885808105783093","25.443243191381654"
"LSTM-standard-bs64-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","12.229087225343054","","2025-10-20T15:33:37.000Z","1168","iguqjlxd","64","true","0.75","","LSTM","","","","","","","","","false","standard","1234","true","21","0.0010000000474974513","0.030173130333423615","0.11655811220407486","99.62429809570312","0.016673119738698006","0.10786480456590652","20.10613441467285","2.431751900846914","5.535929130518907","-1.1229407191296352","3.497011184617952","20.835073870020576"
"LSTM-standard-bs64-augTrue--seed4242--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","8.633500093827417","","2025-10-20T15:09:12.000Z","1462","iguqjlxd","64","true","0.75","","LSTM","","","","","","","","","false","standard","4242","true","26","0.0010000000474974513","0.02514973096549511","0.10823681205511092","106.0434112548828","0.010903382673859596","0.081527478992939","13.426332473754885","1.66337190611076","3.7866975601903743","-0.49875526767138534","2.938281826821147","13.979497647096812"
"LSTM-standard-bs64-augTrue--seed42--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","3.544793520455652","","2025-10-20T14:45:43.000Z","1405","iguqjlxd","64","true","0.75","","LSTM","","","","","","","","","false","standard","42","true","27","0.0010000000474974513","0.02411770634353161","0.1070166602730751","93.2996826171875","0.013689986430108547","0.09469161927700044","14.61032772064209","1.1637861839313834","2.6493812280263382","0.3846321997044151","1.882762204967917","10.5601968736555"
"BiLSTM-standard-bs64-augTrue--seed777--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.4769518703388567","","2025-10-20T14:06:17.000Z","2361","iguqjlxd","64","true","0.75","","BiLSTM","","","","","","","","","false","standard","777","true","29","0.004000000189989805","0.013053249567747116","0.08012054115533829","66.81090545654297","0.019407089799642563","0.1153382956981659","19.76021194458008","1.2038838482933747","2.7406643182667563","0.5700069933290417","1.5738334951127635","12.079637697460775"
