"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE"
"LSTM-min-max-bs16-augTrue--seed42--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:43:01.000Z","173","2zie0gy2","16","true","400","","LSTM","","","","","","","","","false","min-max","42","true","39","0.0010000000474974513","0.005886224564164877","0.05762520805001259","65032.77734375","0.0053544193506240845","0.05355443060398102","8.71506404876709","14.021453906688288","0.652168952408065","313.2366593910808","0.9084809417218024","17.698493138995783","28.439398360722866"
"LSTM-standard-bs16-augTrue--seed1234--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:40:15.000Z","162","2zie0gy2","16","true","400","","LSTM","","","","","","","","","false","standard","1234","true","37","0.0010000000474974513","0.024421146139502525","0.12196819484233856","22.68997573852539","0.04753335937857628","0.15746894478797913","24.872896194458008","11.393851939809217","0.5299533509812058","216.16381425286852","0.9368429329035008","14.702510474502937","21.791830774608552"
"LSTM-standard-bs16-augTrue--seed2021--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:37:55.000Z","139","2zie0gy2","16","true","400","","LSTM","","","","","","","","","false","standard","2021","true","31","0.0010000000474974513","0.02707007527351379","0.12806473672389984","25.59105110168457","0.05404907837510109","0.17795543372631073","29.21877098083496","11.028686671633515","0.5129687035982151","202.1915136420155","0.9409252513536176","14.219406233806511","17.600886400889664"
"LSTM-standard-bs16-augTrue--seed777--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:33:36.000Z","256","2zie0gy2","16","true","400","","LSTM","","","","","","","","","false","standard","777","true","59","0.0010000000474974513","0.019774964079260823","0.1093597337603569","20.994338989257812","0.06746261566877365","0.19763733446598053","31.774803161621097","11.145639443472469","0.5184084366814617","210.5050200107751","0.938496275526402","14.508791128511538","18.702808352793586"
"LSTM-standard-bs16-augTrue--seed4242--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:31:22.000Z","130","2zie0gy2","16","true","400","","LSTM","","","","","","","","","false","standard","4242","true","29","0.0010000000474974513","0.02827305532991886","0.1307125985622406","28.653270721435547","0.05928673595190048","0.17661063373088837","28.367876052856445","10.832757883589473","0.5038556206543476","201.32623726301117","0.9411780610966112","14.188947715141218","17.238246784377043"
"LSTM-standard-bs16-augTrue--seed42--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:25:14.000Z","362","2zie0gy2","16","true","400","","LSTM","","","","","","","","","false","standard","42","true","85","0.0010000000474974513","0.015566389076411724","0.09771378338336945","19.522903442382812","0.04866624623537064","0.16751272976398468","29.20511817932129","11.333517610607943","0.5271470673724377","199.60004555679848","0.9416824064043008","14.12798802224855","19.16672669715117"
"LSTM-min-max-bs16-augTrue--seed1234--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:22:43.000Z","149","2zie0gy2","16","true","200","","LSTM","","","","","","","","","false","min-max","1234","true","37","0.0010000000474974513","0.006944745779037476","0.06234666705131531","6381.1240234375","0.005779943894594908","0.0581614226102829","10.121023178100586","13.746393126253722","0.6393752648048852","321.9717998044344","0.9059287761288224","17.943572659992615","22.31158505629775"
"LSTM-min-max-bs16-augTrue--seed2021--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:19:58.000Z","160","2zie0gy2","16","true","200","","LSTM","","","","","","","","","false","min-max","2021","true","40","0.0010000000474974513","0.006259848363697529","0.0591021403670311","1291.3157958984375","0.005423886701464653","0.05674658343195915","8.458492279052734","12.61663299633642","0.5868276128064635","246.83482416328857","0.9278817150533948","15.710977823270216","22.982135645664343"
"LSTM-min-max-bs16-augTrue--seed777--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:14:57.000Z","299","2zie0gy2","16","true","200","","LSTM","","","","","","","","","false","min-max","777","true","77","0.0010000000474974513","0.004664430860430002","0.05215882137417793","37978.28515625","0.006226920988410711","0.06197502091526985","9.068011283874512","11.081909209996814","0.5154442020251174","218.64282001960015","0.9361186362209908","14.786575669153429","17.300226956765535"
"LSTM-min-max-bs16-augTrue--seed4242--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T02:10:43.000Z","249","2zie0gy2","16","true","200","","LSTM","","","","","","","","","false","min-max","4242","true","66","0.0010000000474974513","0.0050318134017288685","0.05439592525362968","35555.85546875","0.004712116438895464","0.051099516451358795","7.555002212524414","11.14507668150159","0.5183822613727209","216.79517512798935","0.9366584667786318","14.72396601218535","17.942462437278934"
